TIMESTAMPms	M100VFRHUDalt
532	0.981001
1079	0.971042
1628	0.928839
2164	0.903455
2554	0.888384
3087	0.882599
3696	0.878615
4025	0.875676
4574	0.832461
5121	0.825003
5529	0.821042
6060	0.802763
6594	0.797499
7141	0.78469
7532	0.765341
8082	0.773671
8613	0.769616
9163	0.762146
9710	0.735077
10053	0.694183
10603	0.672709
11182	0.65433
11526	0.651465
12074	0.64223
12624	0.65792
13155	0.667624
13702	0.637403
14031	0.673034
14641	0.697756
15172	0.684737
15719	0.683279
16047	0.683973
16594	0.659368
17142	0.682151
17550	0.73626
18083	0.800366
18631	0.838377
19023	0.861608
19538	0.860951
20071	0.828596
20618	0.832921
21102	0.838393
21650	0.84942
22197	0.789263
22557	0.818017
23088	0.833975
23621	0.790113
24215	0.758616
24560	0.738275
25110	0.720549
25641	0.73875
26190	0.752479
26645	0.762644
27193	0.764568
27538	0.773961
28072	0.795219
28635	0.796218
29120	0.789106
29575	0.792829
30091	0.828518
30638	0.825995
31044	0.829843
31578	0.833719
32125	0.828344
32675	0.828084
33112	0.859322
33644	0.887135
34176	0.916306
34739	0.950088
35083	1.01096
35614	1.03373
36209	1.0375
36552	1.03236
37056	1.04143
37555	1.04807
38102	1.04136
38649	1.02926
39185	1.01996
39733	1.05178
40077	1.04118
40609	1.05135
41141	1.05593
41567	1.05529
42082	1.0009
42632	0.954112
43167	0.93328
43575	0.951082
44106	0.902014
44654	0.906429
45205	0.944029
45579	0.929651
46128	0.919519
46675	0.948254
47219	0.996401
47578	1.01773
48109	1.00495
48656	1.03052
49234	1.09745
49594	1.10561
50125	1.08862
50627	1.13177
51176	1.13653
51723	1.11569
52051	1.1369
52584	1.1378
53133	1.13654
53728	1.10665
54075	1.08655
54624	1.08507
55160	1.10061
55550	1.11418
56099	1.16155
56647	1.21016
57182	1.21179
57560	1.21106
58123	1.21297
58655	1.21095
59251	1.1983
59751	1.17582
60095	1.2081
60704	1.20945
61221	1.20384
61567	1.19496
62118	1.19518
62654	1.20709
63187	1.20104
63750	1.2175
64081	1.16081
64676	1.15628
65208	1.16678
65696	1.18901
66092	1.17872
66645	1.17476
67168	1.16541
67575	1.14635
68140	1.13294
68660	1.14682
69163	1.17509
69602	1.18129
70150	1.18785
70683	1.20976
71235	1.2018
71580	1.19374
72163	1.18401
72701	1.18432
73252	1.20666
73645	1.22568
74130	1.22054
74692	1.20972
75227	1.22641
75607	1.20677
76154	1.19115
76702	1.18674
77236	1.18682
77599	1.1746
78132	1.14826
78665	1.13413
79202	1.12685
79612	1.10926
80145	1.11209
80680	1.09467
81091	1.0623
81628	1.07135
82178	1.03928
82711	1.04709
83262	1.03092
83640	1.00761
84189	0.994528
84739	1.01336
85228	1.0128
85782	1.03174
86127	1.03504
86675	1.05149
87225	1.06923
87760	1.08555
88141	1.0888
88690	1.09782
89225	1.11961
89778	1.13196
90123	1.12638
90656	1.14625
91197	1.17257
91610	1.18916
92130	1.19109
92678	1.18167
93213	1.18069
93609	1.19184
94156	1.20539
94752	1.21828
95239	1.19298
95631	1.17436
96185	1.16949
96706	1.17736
97254	1.15848
97614	1.14486
98167	1.13577
98701	1.12798
99279	1.1123
99623	1.09836
100170	1.09678
100721	1.07082
101254	1.06856
101599	1.07931
102134	1.04823
102731	1.05727
103280	1.04034
103612	1.03755
104144	1.029
104707	1.03882
105285	1.06225
105644	1.06134
106181	1.08856
106717	1.08321
107125	1.08531
107657	1.11059
108205	1.13158
108757	1.15108
109292	1.16624
109636	1.18888
110230	1.22592
110778	1.23993
111310	1.25393
111658	1.28827
112207	1.31742
112746	1.37087
113280	1.37753
113718	1.39058
114203	1.39348
114769	1.42303
115254	1.41113
115633	1.43362
116180	1.44111
116733	1.39699
117130	1.38255
117650	1.37563
118183	1.36254
118699	1.35611
119138	1.35251
119688	1.36213
120238	1.37055
120775	1.35197
121326	1.36293
121706	1.38499
122239	1.38731
122806	1.39991
123139	1.41402
123693	1.42829
124271	1.40986
124771	1.4359
125164	1.42303
125697	1.43875
126235	1.44416
126785	1.45328
127128	1.48003
127678	1.45194
128199	1.42245
128809	1.43405
129137	1.44205
129685	1.4225
130232	1.3963
130732	1.38557
131175	1.38418
131712	1.38247
132263	1.37123
132689	1.37033
133189	1.37032
133728	1.38214
134277	1.38442
134826	1.38458
135171	1.3842
135705	1.38458
136287	1.36855
136648	1.37257
137198	1.39497
137734	1.38081
138273	1.36912
138759	1.36858
139165	1.3774
139748	1.38924
140298	1.40217
140628	1.40298
141195	1.38938
141716	1.39385
142251	1.36388
142661	1.35999
143256	1.35853
143725	1.37135
144276	1.38501
144669	1.36712
145222	1.36337
145771	1.38489
146305	1.41153
146651	1.42894
147245	1.41782
147795	1.43644
148328	1.44175
148673	1.43128
149221	1.42562
149768	1.41838
150316	1.40228
150692	1.38323
151240	1.3771
151788	1.39337
152319	1.378
152647	1.38938
153213	1.36922
153760	1.36748
154353	1.37846
154682	1.36129
155214	1.35784
155767	1.35739
156174	1.36715
156705	1.34287
157258	1.35236
157798	1.36808
158333	1.39133
158727	1.39746
159265	1.39616
159819	1.40327
160180	1.40125
160713	1.39876
161261	1.41113
161795	1.40861
162204	1.42001
162736	1.43312
163258	1.42824
163820	1.4756
164373	1.48201
164702	1.50535
165236	1.52001
165660	1.52118
166164	1.52156
166714	1.53125
167248	1.52471
167799	1.52152
168205	1.5517
168737	1.5608
169287	1.55653
169666	1.54241
170216	1.52277
170768	1.50877
171350	1.49238
171696	1.47957
172279	1.49319
172831	1.49483
173315	1.49483
173709	1.48325
174259	1.48213
174791	1.51367
175339	1.50857
175729	1.51308
176278	1.5139
176828	1.50353
177159	1.51792
177693	1.52312
178244	1.5377
178797	1.53614
179191	1.51729
179726	1.49826
180261	1.50088
180767	1.52578
181191	1.5469
181743	1.54948
182282	1.55701
182835	1.59558
183181	1.61345
183760	1.62785
184310	1.66155
184797	1.65622
185206	1.68307
185740	1.68815
186289	1.71768
186840	1.70296
187215	1.68762
187764	1.70962
188301	1.70957
188852	1.70598
189181	1.70505
189730	1.71723
190263	1.7211
190798	1.7158
191208	1.72286
191804	1.73196
192278	1.72709
192778	1.74242
193187	1.72213
193736	1.75349
194271	1.75706
194803	1.78618
195351	1.79057
195743	1.76791
196291	1.78516
196824	1.77547
197373	1.80284
197733	1.80947
198269	1.80959
198816	1.83726
199400	1.82926
199749	1.81406
200234	1.80069
200782	1.77861
201285	1.75886
201838	1.75019
202485	1.74838
202939	1.7584
203267	1.77809
203799	1.77051
204334	1.75743
204741	1.7241
205273	1.69444
205824	1.69092
206375	1.69076
206750	1.6908
207302	1.69113
207851	1.71262
208400	1.73986
208777	1.75728
209326	1.74482
209874	1.7546
210405	1.78011
210796	1.79847
211284	1.78684
211840	1.77722
212417	1.79292
212780	1.80627
213346	1.80474
213865	1.81854
214401	1.83994
214950	1.83577
215280	1.82697
215891	1.84939
216424	1.87641
216755	1.88165
217305	1.88755
217856	1.91009
218391	1.91873
218783	1.96305
219332	1.9895
219864	1.99741
220412	2.02534
220807	2.04962
221345	2.06697
221895	2.07608
222445	2.08621
222792	2.10706
223387	2.13621
223905	2.16699
224393	2.18623
224800	2.20985
225331	2.23614
225897	2.2175
226433	2.23862
226828	2.24662
227362	2.28311
227910	2.32449
228444	2.32507
228791	2.35684
229327	2.38484
229874	2.37347
230409	2.3685
230816	2.38362
231334	2.39956
231915	2.40017
232422	2.41833
232832	2.44209
233382	2.4507
233933	2.45071
234452	2.44719
234844	2.45546
235394	2.4793
235929	2.50728
236289	2.52066
236820	2.51319
237366	2.54573
237919	2.60643
238311	2.61142
238846	2.63203
239394	2.64058
239925	2.65263
240425	2.66569
240818	2.6969
241355	2.74317
241951	2.79527
242501	2.82274
242833	2.85277
243371	2.89678
243919	2.92731
244314	2.94327
244863	2.93476
245398	2.93569
245793	2.93286
246341	2.95319
246876	2.96306
247410	2.94605
247958	2.9422
248318	2.92216
248867	2.92758
249429	2.90862
249913	2.91264
250352	2.89081
250901	2.89155
251422	2.91263
251957	2.90929
252491	2.90252
252900	2.89093
253431	2.88633
253979	2.87793
254312	2.84966
254859	2.83687
255394	2.8424
255805	2.82333
256357	2.83274
256877	2.85939
257410	2.86668
257820	2.88082
258372	2.90882
258906	2.89366
259438	2.91079
260000	2.92717
260378	2.92382
260926	2.93107
261473	2.9163
261819	2.89801
262356	2.90664
262903	2.89437
263473	2.88092
263833	2.86951
264385	2.85283
264907	2.8399
265458	2.82959
266008	2.81813
266356	2.79884
266877	2.76346
267411	2.73868
267959	2.76046
268370	2.73447
268904	2.7425
269451	2.73905
269857	2.70547
270406	2.68083
270941	2.69472
271474	2.7154
271852	2.70566
272399	2.67574
272954	2.66304
273488	2.65509
273850	2.63207
274397	2.61363
274930	2.60384
275449	2.57771
275858	2.55217
276405	2.56086
276938	2.5292
277504	2.53751
277821	2.50991
278356	2.50525
278972	2.50544
279505	2.47443
279834	2.45814
280397	2.42539
280929	2.42394
281469	2.43557
281861	2.41654
282427	2.41611
282945	2.43775
283356	2.44335
283893	2.44707
284442	2.4446
284974	2.43564
285523	2.44404
285872	2.44587
286459	2.44088
286994	2.45071
287342	2.45286
287893	2.46477
288428	2.44525
288977	2.4303
289509	2.38604
289899	2.38851
290448	2.36589
291011	2.35792
291545	2.3351
291863	2.32575
292416	2.33291
292951	2.30326
293358	2.28306
293892	2.2938
294430	2.2955
294984	2.28958
295376	2.28495
295911	2.26458
296461	2.24696
297013	2.23481
297392	2.26491
297929	2.2874
298445	2.28047
298991	2.27972
299538	2.26704
299882	2.25125
300431	2.24583
300965	2.25391
301517	2.23978
301892	2.22594
302441	2.21929
302977	2.20832
303530	2.23272
303858	2.23564
304406	2.21225
304937	2.21187
305359	2.21475
305877	2.19316
306410	2.20003
306962	2.19887
307369	2.19673
307917	2.19492
308452	2.20484
308990	2.18362
309352	2.17549
309930	2.14104
310463	2.12037
311017	2.12408
311362	2.11228
311917	2.09534
312448	2.10516
313000	2.08447
313377	2.06745
313926	2.08046
314473	2.07314
315023	2.06081
315554	2.06468
315902	2.08245
316440	2.11509
317023	2.12639
317368	2.11059
317915	2.10821
318463	2.09332
318963	2.10526
319404	2.07244
319941	2.0757
320489	2.0966
320868	2.10759
321419	2.09556
321968	2.079
322533	2.05796
323049	2.04865
323394	2.01426
323944	1.98462
324522	1.97127
324881	1.96807
325428	1.9647
325961	1.96088
326499	1.96236
326984	1.96373
327390	1.93054
327990	1.93409
328530	1.93312
329080	1.91891
329408	1.92243
329957	1.93047
330490	1.94007
330886	1.93852
331450	1.91789
331972	1.92904
332507	1.94158
332916	1.96037
333447	1.97474
334011	1.96532
334535	1.94239
334896	1.92658
335475	1.9219
336022	1.92446
336369	1.92161
336915	1.89542
337462	1.89915
337995	1.91897
338546	1.93397
338924	1.95585
339490	2.00253
340022	2.01027
340568	2.01186
340898	2.02949
341433	2.06205
341984	2.05043
342393	2.0724
342927	2.07689
343467	2.06798
344002	2.07232
344398	2.08024
344947	2.06972
345494	2.04882
346043	2.02889
346389	2.02256
346968	2.04897
347503	2.07003
348072	2.06205
348417	2.06801
348953	2.0583
349499	2.06523
350031	2.05018
350422	2.05768
350957	2.02696
351506	1.99619
352105	1.97892
352606	2.00857
352935	2.02184
353472	2.01827
353972	2.01509
354521	1.99216
354929	1.99049
355445	1.99534
355998	1.98064
356407	1.97488
356931	2.00245
357482	2.01924
358029	2.01055
358576	2.03084
358952	2.01987
359503	2.03905
360051	2.03125
360394	2.01738
360941	2.03375
361479	2.05041
362028	2.04381
362423	2.04529
362957	2.03632
363494	2.00432
364041	2.00344
364384	1.99642
364918	1.98041
365434	1.96057
365968	1.94935
366507	1.9393
366948	1.90696
367453	1.89836
368003	1.87748
368382	1.8637
368975	1.83908
369477	1.82294
370014	1.80897
370566	1.80646
370945	1.7842
371492	1.76843
372043	1.76539
372579	1.76581
372928	1.75675
373477	1.75358
374014	1.74529
374411	1.73213
374962	1.71898
375494	1.69559
376056	1.6764
376579	1.67448
376926	1.67458
377463	1.66943
378045	1.64298
378391	1.64002
378940	1.62785
379550	1.62701
380036	1.59485
380412	1.60082
380975	1.5828
381515	1.56878
382065	1.56058
382442	1.57807
382980	1.59386
383529	1.57352
384076	1.56278
384422	1.5554
384969	1.54663
385518	1.53842
386100	1.53003
386449	1.53399
386984	1.54513
387425	1.5451
388038	1.55258
388588	1.5474
388916	1.52427
389466	1.5495
390106	1.54331
390593	1.56694
390941	1.56254
391478	1.56552
392026	1.54937
392433	1.54601
392933	1.54773
393531	1.54343
393939	1.53438
394487	1.54689
395034	1.55123
395566	1.54242
395926	1.55032
396461	1.55681
397045	1.54033
397499	1.55481
398084	1.57942
398478	1.58047
398981	1.60061
399530	1.61197
400077	1.60711
400614	1.61941
400944	1.61162
401547	1.6332
402036	1.63195
402584	1.62281
402928	1.6121
403463	1.62892
404014	1.62099
404564	1.60008
404973	1.58573
405508	1.60177
406041	1.62021
406448	1.59616
406981	1.58034
407516	1.60237
408020	1.60607
408602	1.60565
408963	1.63739
409495	1.64636
410093	1.65069
410437	1.66604
410960	1.6865
411511	1.7043
412062	1.72187
412617	1.7399
412932	1.74734
413530	1.7424
414077	1.75284
414563	1.75215
414970	1.75265
415501	1.75466
416035	1.75087
416602	1.73869
416996	1.72277
417528	1.71369
418063	1.69913
