TIMESTAMPms	M100GLOBALPOSITIONINTlat	M100GLOBALPOSITIONINTlon	M100VFRHUDalt
877	4.18798e+08	1.27037e+08	5.35489
1007	4.18798e+08	1.27037e+08	5.35489
1555	4.18798e+08	1.27037e+08	5.35489
1958	4.18798e+08	1.27037e+08	5.35489
2103	4.18798e+08	1.27037e+08	5.35489
2589	4.18798e+08	1.27037e+08	5.35489
2850	4.18798e+08	1.27037e+08	5.35489
2995	4.18798e+08	1.27037e+08	5.35489
3576	4.18798e+08	1.27037e+08	5.35489
3979	4.18798e+08	1.27037e+08	5.35489
4124	4.18798e+08	1.27037e+08	5.35489
4469	4.18798e+08	1.27037e+08	5.35489
4871	4.18798e+08	1.27037e+08	5.35489
5000	4.18798e+08	1.27037e+08	5.35489
5548	4.18798e+08	1.27037e+08	5.35489
5952	4.18798e+08	1.27037e+08	5.35489
6097	4.18798e+08	1.27037e+08	5.35489
6645	4.18798e+08	1.27037e+08	5.35489
6906	4.18798e+08	1.27037e+08	5.35489
7037	4.18798e+08	1.27037e+08	5.35489
7573	4.18798e+08	1.27037e+08	5.35489
7961	4.18798e+08	1.27037e+08	5.35489
8122	4.18798e+08	1.27037e+08	5.35489
8466	4.18798e+08	1.27037e+08	5.35489
8918	4.1881e+08	1.27027e+08	5.35489
8987	4.1881e+08	1.27027e+08	20.2723
9539	4.1881e+08	1.27027e+08	22.4614
9987	4.18809e+08	1.27028e+08	22.4614
10086	4.18809e+08	1.27028e+08	21.9704
10479	4.18809e+08	1.27028e+08	21.1803
10884	4.18808e+08	1.27028e+08	21.1803
11015	4.18808e+08	1.27028e+08	20.0775
11565	4.18808e+08	1.27028e+08	19.2836
12191	4.18808e+08	1.27028e+08	18.9722
12249	4.18808e+08	1.27029e+08	18.9722
12504	4.18808e+08	1.27029e+08	18.1395
12907	4.18807e+08	1.27029e+08	18.1395
13053	4.18807e+08	1.27029e+08	16.687
13588	4.18807e+08	1.27029e+08	16.4357
13992	4.18807e+08	1.27029e+08	16.4357
14137	4.18807e+08	1.27029e+08	16.4357
14485	4.18807e+08	1.27029e+08	16.4357
14936	4.18807e+08	1.27029e+08	16.4357
15067	4.18807e+08	1.27029e+08	16.4357
15605	4.18807e+08	1.27029e+08	16.4357
16024	4.18807e+08	1.27029e+08	16.4357
16156	4.18807e+08	1.27029e+08	16.4357
16594	4.18807e+08	1.27029e+08	16.4357
16859	4.18807e+08	1.27029e+08	16.4357
17004	4.18807e+08	1.27029e+08	16.4357
17553	4.18807e+08	1.27029e+08	16.4357
17943	4.18807e+08	1.27029e+08	16.4357
18092	4.18807e+08	1.27029e+08	16.4357
18643	4.18807e+08	1.27029e+08	14.7912
18890	4.18803e+08	1.27032e+08	14.7912
18973	4.18803e+08	1.27032e+08	9.79487
19570	4.18803e+08	1.27032e+08	9.79487
19961	4.18803e+08	1.27032e+08	9.79487
20107	4.18803e+08	1.27032e+08	9.79487
20640	4.18803e+08	1.27032e+08	9.79487
20904	4.18803e+08	1.27032e+08	9.79487
20989	4.18803e+08	1.27032e+08	9.79487
21554	4.18803e+08	1.27032e+08	9.79487
21987	4.18803e+08	1.27032e+08	9.79487
22087	4.18803e+08	1.27032e+08	9.79487
22621	4.18803e+08	1.27032e+08	9.79487
22883	4.18803e+08	1.27032e+08	9.79487
23030	4.18803e+08	1.27032e+08	9.79487
23675	4.18803e+08	1.27032e+08	9.79487
24015	4.18803e+08	1.27032e+08	9.79487
24098	4.18803e+08	1.27032e+08	9.79487
24491	4.18803e+08	1.27032e+08	9.79487
24909	4.18803e+08	1.27032e+08	9.79487
25040	4.18803e+08	1.27032e+08	9.79487
25574	4.18803e+08	1.27032e+08	9.79487
25993	4.18803e+08	1.27032e+08	9.79487
26122	4.18803e+08	1.27032e+08	9.79487
26484	4.18803e+08	1.27032e+08	9.79487
27111	4.18803e+08	1.27032e+08	9.79487
