TIMESTAMPms	M100ATTITUDEroll
10	-0.0361821
14	-0.036365
20	-0.0366948
24	-0.0368859
30	-0.0367153
34	-0.0366227
1022	-0.0364629
1026	-0.0365039
1032	-0.0363957
1036	-0.0364543
1042	-0.0365203
1046	-0.0365579
1052	-0.0365318
1056	-0.0366606
1062	-0.0365584
1066	-0.0365072
1072	-0.0364116
1076	-0.0363196
1082	-0.0358498
1086	-0.0358341
1092	-0.0359932
1096	-0.0360585
1102	-0.0357976
1106	-0.0361059
1112	-0.0361811
1116	-0.0363016
1945	-0.0361369
1949	-0.0360741
1955	-0.0359819
1959	-0.0363176
1965	-0.0363286
1969	-0.0364164
1975	-0.0366416
1979	-0.03656
1985	-0.0367141
1989	-0.0367858
1995	-0.0371181
1999	-0.0369365
2005	-0.0367783
2009	-0.0369177
2015	-0.0371099
2019	-0.0368772
2025	-0.0364095
2029	-0.0362223
2035	-0.0361367
2039	-0.0362945
3022	-0.0370988
3026	-0.0373487
3032	-0.0375594
3036	-0.0375175
3042	-0.0371327
3046	-0.0368092
3052	-0.036421
3056	-0.0364076
3062	-0.036726
3066	-0.0371822
3072	-0.0374606
3076	-0.0374668
3082	-0.0374055
3086	-0.0370268
3092	-0.0365566
3096	-0.0364713
3102	-0.0362365
3106	-0.0363438
3112	-0.0369012
3116	-0.0374718
4118	-0.037819
4122	-0.0378784
4128	-0.0375377
4132	-0.0374838
4138	-0.0375581
4142	-0.0377126
4148	-0.0378356
4152	-0.0380714
4158	-0.0388804
4162	-0.0394793
4168	-0.0396506
4172	-0.0395647
4178	-0.0392152
4182	-0.0391844
4188	-0.0390224
4192	-0.0391854
4198	-0.0394848
4202	-0.0397968
4208	-0.0401204
4212	-0.0401467
5022	-0.0399771
5026	-0.0396989
5032	-0.0393707
5036	-0.0395471
5042	-0.0398346
5046	-0.0404203
5052	-0.0404439
5056	-0.0403773
5062	-0.0397714
5066	-0.0397597
5072	-0.0398175
5076	-0.0397901
5082	-0.0400841
5086	-0.0404939
5092	-0.0403657
5096	-0.0396883
5102	-0.0390915
5106	-0.038608
5112	-0.0389788
5116	-0.0390949
5945	-0.0390384
5949	-0.0391815
5955	-0.0392452
5959	-0.0391313
5965	-0.0389301
5969	-0.0389208
5975	-0.0389733
5979	-0.0388443
5985	-0.0387042
5989	-0.0384568
5995	-0.0382257
5999	-0.038191
6005	-0.0372162
6009	-0.0365705
6015	-0.0361556
6019	-0.0363908
6025	-0.0376253
6029	-0.0380975
6035	-0.0383535
6039	-0.0378379
7027	-0.0375153
7031	-0.0374523
7037	-0.0373048
7041	-0.037304
7047	-0.0374313
7051	-0.0374886
7057	-0.0373413
7061	-0.0372571
7067	-0.0371129
7071	-0.0372791
7077	-0.0371644
7081	-0.0372937
7087	-0.0373401
